objectid,category,ghgrp_id,landfill_name,county_state,landfill_owner_org,year_landfill_opened,landfill_closure_year,current_landfill_status,landfill_design_cap,waste_in_place_tons,waste_in_place_year,lfg_collection_system,lfg_collected_mmscfd,lfg_collected_year,latitude,longitude
79,Candidate,1006201,Cactus Landfill,"Pinal, AZ","Republic Services, Inc.",2004,2442,Open,168028763,3400811,2016,No,,,32.7679,-111.3223
80,Candidate,1004132,Cinder Lake MSW LF,"Coconino, AZ","City of Flagstaff, AZ",1965,2054,Open,19623301,5222610,2016,No,,,35.307,-111.517
81,Other,1007279,City of Chandler Landfill,"Maricopa, AZ","City of Chandler, AZ",1981,2005,Closed,,2100000,2001,Yes,0.448,2012,33.251,-111.8251
82,With Project,1003683,City of Glendale Municipal Landfill,"Maricopa, AZ","City of Glendale, AZ",1973,2069,Open,33670772,10022321,2016,Yes,1.42,2012,33.5364,-112.3065
83,Other,,Cocopah Landfill,"Yuma, AZ",Cocopah Indian Tribe,,,Closed,,2200000,1998,No,,,32.5915,-114.6713
84,Candidate,1007963,Copper Mountain Landfill,"Yuma, AZ","Republic Services, Inc.",1995,2282,Open,53471634,5820965,2016,No,,,32.649,-114.05565
85,Other,,Deer Valley Landfill,"Maricopa, AZ","City of Phoenix, AZ",,1972,Closed,,,,Yes,,,33.621,-112.0996
86,Other,,Dudleyville Landfill,"Pinal, AZ",Pinal County,,,Open,,8902,2001,No,,,32.9997,-110.7879
87,Other,,Durham Regional Landfill,"Pinal, AZ","Durham Regional Landfill, LLC",2016,,Open,28569100,,,Unknown,,,32.68,-111.291
88,Candidate,1007862,Gray Wolf Regional Landfill,"Yavapai, AZ","Waste Management, Inc.",1993,2173,Open,25167279,3849989,2016,No,,,34.5167,-112.0483
89,Other,1002450,Harrison Landfill,"Pima, AZ","City of Tucson, AZ",1972,1997,Closed,,2250000,,Yes,0.382,2012,32.1627,-110.7902
90,Other,,Huachuca City Landfill,"Cochise, AZ","City of Huachuca, AZ",,2005,Closed,,1200000,1998,No,,,31.637,-110.329
91,Candidate,1003612,Ironwood Landfill,"Pinal, AZ","Waste Management, Inc.",1971,2018,Open,1730494,1715840,2016,No,,,33.0077,-111.4316
92,Candidate,1004056,La Paz County Landfill,"La Paz, AZ",County of La Paz,1990,3000,Open,19878402,2894590,2016,No,,,33.951822,-114.216539
93,Candidate,1004093,Lake Havasu Landfill,"Mohave, AZ",City of Lake Havasu,1971,2023,Open,2646000,1801042,2016,No,,,34.5463,-114.339
94,Candidate,1007543,Lone Cactus Landfill,"Maricopa, AZ","Waste Management, Inc.",1981,2018,Open,,11158328,2016,No,,,33.682456,-112.065633
95,With Project,1002799,Los Reales Landfill,"Pima, AZ","City of Tucson, AZ",1967,2044,Open,47100000,20449277,2016,Yes,1.43,2012,32.1192,-110.88
96,Other,,Mohave Valley Landfill,"Mohave, AZ",County of Mohave,,,Open,,,,No,,,35.0135,-114.567
97,Other,1003046,North Center Street Landfill,"Maricopa, AZ",Salt River Pima-Maricopa Indian Community (SRP-MIC),1970,1992,Closed,,2206102,1992,Yes,0.21,2015,33.465,-111.8295
98,With Project,1000031,Northwest Regional MSW Landfill,"Maricopa, AZ","Waste Management, Inc.",1983,2158,Open,152057863,18201705,2016,Yes,1.9,2012,33.678,-112.481
99,Candidate,1003611,Painted Desert Landfill,"Navajo, AZ","Waste Management, Inc.",1984,2289,Open,34273522,3121537,2016,Yes,0.056,2012,34.998,-110.3347
100,Other,1003467,Queen Creek MSW Landfill,"Maricopa, AZ","Maricopa County, AZ",1972,2007,Closed,4267841,4217096,2007,No,,,33.2195,-111.6469
101,Candidate,,Rio Rico MSW Landfill,"Santa Cruz, AZ","Santa Cruz County, AZ",1981,2041,Open,1929119,1042941,2011,Yes,0.36,2017,31.5194,-111.0186
102,Other,1002831,Salt River Landfill,"Maricopa, AZ",Salt River Pima-Maricopa Indian Community (SRP-MIC),1993,2032,Open,22996457,13153789,2016,Yes,2.8,2015,33.508775,-111.778214
103,Other,,Sierra Estrella Landfill,"Maricopa, AZ","Waste Management, Inc.",,,Open,,,,No,,,33.08,-112.1253
104,Other,1004261,Skunk Creek Landfill,"Maricopa, AZ","City of Phoenix, AZ",1973,2005,Closed,,19600000,2005,Yes,2.6,2012,33.71276,-112.12764
105,Candidate,1006485,South Yuma County Landfill,"Yuma, AZ","CR&R, Inc.",2001,2100,Open,27163398,2526552,2016,No,,,32.5689,-114.61613
106,Candidate,1004240,Southwest Regional Landfill,"Maricopa, AZ",Buckeye Pollution Control Corp. (BPCC),1997,2049,Open,29004965,11402006,2016,Yes,0.301,2012,33.34469,-112.62391
107,Candidate,1004121,State Route 85 Landfill,"Maricopa, AZ","City of Phoenix, AZ",2006,2100,Open,29510617,10074678,2016,Yes,1.21,2016,33.189414,-112.680929
108,Candidate,1004876,Tangerine Road MSW Landfill,"Pima, AZ","Pima County, AZ",1983,2013,Closed,3715590,3545055,2013,No,,,32.41944,-111.1833
109,Other,1003229,Tri-Cities Landfill,"Maricopa, AZ",Salt River Pima-Maricopa Indian Community (SRP-MIC),1972,1993,Closed,,11500000,1993,Yes,0.36,2015,33.476,-111.8295
110,Other,,Vincent Mullins Landfill,"Pima, AZ","City of Tucson, AZ",1972,1987,Closed,,1320000,1987,Yes,0.75,,32.23565,-110.8378
111,With Project,,Acme LF,"Contra Costa, CA",Acme Fill Corporation,1954,2003,Closed,,10800000,2002,Yes,1.8,,38.034,-122.09056
112,Other,,Aerojet Liquid Rocket Company LF,"Sacramento, CA",Aerojet,,,Unknown,,,,No,,,38.58333,-121.3
113,With Project,1004335,All Purpose Landfill,"Santa Clara, CA",City of Santa Clara,1962,1996,Closed,,5501512,1996,Yes,0.403,2012,37.41639,-121.97056
114,Candidate,1006197,Allied Imperial Landfill,"Imperial, CA","Republic Services, Inc.",1971,2034,Open,13952388,4355667,2016,No,,,32.858,-115.526
115,With Project,1007699,Altamont Landfill & Resource Recovery Facility,"Alameda, CA","Waste Management, Inc.",1980,2070,Open,128992500,58751762,2016,Yes,8.33,2012,37.75,-121.65667
116,Other,,Alturas SLF,"Modoc, CA","Modoc County, CA",,2028,Open,,33872,,No,,,41.45861,-120.56556
117,Other,,Amador County SLF,"Amador, CA","Amador County, CA",,2004,Closed,,1013553,,Yes,0.27,2013,38.30315,-120.91147
118,Candidate,1004417,American Avenue Landfill,"Fresno, CA","Fresno County, CA",1971,2045,Open,26838800,13151311,2016,Yes,2.15,2012,36.66171,-120.1457
119,Other,1004465,American Canyon SLF,"Napa, CA",Napa-Vallejo Waste Management Authority,1966,1995,Closed,4830052,4830026,1995,Yes,0.548,2012,38.18056,-122.27556
120,Candidate,1007839,Anderson Landfill,"Shasta, CA","Waste Management, Inc.",1977,2103,Open,16367311,3530137,2016,Yes,0.932,2012,40.45,-122.283334
121,Other,,Annapolis LF,"Sonoma, CA","Sonoma County, CA",,1995,Closed,,45289,,No,,,38.716667,-123.366667
122,Candidate,1007710,Antelope Valley Recycling and Disposal Facility,"Los Angeles, CA","Waste Management, Inc.",1958,2042,Open,25008972,8107798,2016,Yes,1.09,2012,34.56768,-118.14994
123,Other,,Anza Disposal Site,"Riverside, CA","Riverside County, CA",,1999,Closed,,381600,,No,,,33.55,-116.666667
124,Other,,Apple Valley Disposal Site,"San Bernardino, CA","San Bernardino County, CA",1964,1997,Closed,813000,609750,,No,,,34.5,-117.11
126,Other,1002689,Arvin SLF,"Kern, CA","Kern County, CA",1971,2003,Closed,4171392,4171392,,Yes,0.402,2012,35.1905,-118.9145
127,Other,,Ascon & Desser Landfills,"Los Angeles, CA",Desser; Watson Energy Systems,1964,1978,Closed,,3600000,,Yes,1,,33.798068,-118.238409
128,With Project,,Austin Road Landfill,"San Joaquin, CA","Republic Services, Inc.",1956,2020,Open,30624000,7354000,2002,Yes,0.5,,37.7795,-121.1767
129,Candidate,1003328,Avenal Regional Landfill,"Kings, CA","City of Avenal, CA",1976,2108,Open,20803561,15600000,2006,No,,,36.01195,-120.11535
130,Other,1007682,"Azusa Land Reclamation Company, Inc.","Los Angeles, CA","Waste Management, Inc.",1968,1991,Closed,18420000,7900000,,Yes,2.95,2012,34.1159,-117.929
131,With Project,1000046,Badlands SLF,"Riverside, CA","Riverside County, CA",1966,2040,Open,24255000,12755455,2016,Yes,1.31,2012,33.95349,-117.11758
132,Other,1005092,Bailard LF,"Ventura, CA","Ventura Regional Sanitation District, CA",1962,1996,Closed,10201738,4336609,,Yes,1.09,2012,34.22857,-119.22435
133,Other,,Baker Refuse Disposal Site,"San Bernardino, CA","San Bernardino County, CA",1963,1997,Closed,,158794,,No,,,35.233,-116.061
134,Other,1007654,Bakersfield City Landfill,"Kern, CA","City of Bakersfield, CA",1956,1983,Closed,,,,Yes,0.196,2012,35.41418,-118.94949
135,Other,1002896,Bakersfield Metropolitan SLF (BENA),"Kern, CA","Kern County, CA",1992,2044,Open,29987743,9448923,2016,Yes,1.15,2012,35.34387,-118.75847
136,Other,,Balance Rock Disposal Site,"Tulare, CA","Tulare County, CA",,1998,Closed,,9300,,No,,,35.883334,-118.666667
137,Other,1004406,Barstow Sanitary Landfill,"San Bernardino, CA","San Bernardino County, CA",1963,2071,Open,48178434,2534164,2016,Yes,0.25,2010,34.83389,-117.02
138,Other,,Bass Hill LF,"Lassen, CA",United States Bureau of Land Management,1974,2019,Open,,351480,2011,No,,,40.35281,-120.55508
139,Other,,Beale Air Force Base SLF,"Yuba, CA",United States Air Force,,1997,Closed,,389440,,No,,,39.1,-121.4
140,Other,,Ben Lomond Solid Waste Disposal Site,"Santa Cruz, CA","Santa Cruz County, CA",1951,1995,Closed,,1200000,1995,Yes,0.12,,37.09375,-122.07535
141,Other,,Benton Crossing SLF,"Mono, CA",Los Angeles Department of Water & Power (LADWP),,2012,Closed,,246000,,No,,,37.68748,-118.78128
142,Other,,Benton SLF,"Mono, CA",United States Bureau of Land Management,,2027,Open,,100000,2004,No,,,37.81825,-118.4686
143,Other,,Berryessa Garbage Service Disposal Site,"Napa, CA",Gomez Boys,,1992,Closed,,50000,,No,,,38.452,-122.1829
144,Other,,Bieber Disposal Facility,"Lassen, CA","Lassen Regional Solid Waste Management Authority, CA",,1992,Closed,,50000,,No,,,41.116667,-121.133334
145,Other,,Big Bear Refuse Disposal Site,"San Bernardino, CA","San Bernardino County, CA",1949,2001,Closed,720000,540000,,No,,,34.2994,-116.8736
146,Other,,Big Oak Flat LF,"Tuolumne, CA",United States Bureau of Land Management,,2002,Closed,,241200,,No,,,37.81286,-120.2269
147,Candidate,1006218,Billy Wright Landfill,"Merced, CA","Merced County Regional Waste Authority, CA",1974,2054,Open,11101900,1682655,2016,No,,,37.03949,-120.97235
148,Other,,Bishop Sunland,"Inyo, CA",Los Angeles Department of Water & Power (LADWP),1955,2064,Open,,250000,2004,No,,,37.32961,-118.40007
149,With Project,1011449,BKK Landfill-Phases I & II,"Los Angeles, CA",BKK Corporation,1963,1996,Closed,49245368,49245368,1996,Yes,,,34.0353,-117.913
150,Other,,Black Butte Solid Waste Disposal Site,"Siskiyou, CA",United States Department of Agriculture; United States Forest Service,,2003,Closed,,150000,,No,,,41.316667,-122.3
151,Other,,Blythe Disposal Site,"Riverside, CA","Riverside County, CA",1976,2047,Open,2000000,732963,2015,Yes,0.058,,33.70478,-114.62673
152,Other,,Bonsall Landfill,"San Diego, CA","County of San Diego, CA",,,Closed,,,1998,Yes,0.1728,2010,33.2412,-117.1799
153,Other,,Bonzi SLF,"Stanislaus, CA",Rudi Bonzi Inc,1967,2010,Closed,,1800000,,Yes,,,37.60566,-121.03684
154,Other,,Boron SLF,"Kern, CA","Kern County, CA",1973,2048,Open,557000,458500,2009,No,,,34.99028,-117.6475
155,Other,,Borrego Landfill,"San Diego, CA","Republic Services, Inc.",,2046,Open,,107389,,No,,,33.248,-116.293
156,Other,1007951,Bradley Landfill,"Los Angeles, CA","Waste Management, Inc.",1958,2007,Closed,,61302299,2007,Yes,6.39,2012,34.23753,-118.38042
157,Other,,Brand Park LF,"Los Angeles, CA","City of Glendale, CA",1957,1961,Closed,,408000,,No,,,34.15,-118.25
158,Other,,Brawley Disposal Site,"Imperial, CA","Imperial County, CA",,2005,Closed,,400000,2004,No,,,32.983334,-115.533334
159,Other,,Bridgeport SLF,"Mono, CA",United States Bureau of Land Management,,2004,Closed,,54000,,No,,,34.183334,-118.3
160,With Project,1006221,Buena Vista Drive SLF,"Santa Cruz, CA","Santa Cruz County, CA",1981,2031,Open,6026606,3902505,2016,Yes,1.58,2012,36.91738,-121.81142
161,With Project,1007600,Burbank LF Site No. 3,"Los Angeles, CA","City of Burbank, CA",1968,2084,Open,5391225,2000000,,Yes,0.543,2012,34.21018,-118.31192
162,Other,,Buttonwillow SLF,"Kern, CA","Kern County, CA",1972,1998,Closed,,110745,1998,No,,,34.15,-118.733334
163,With Project,1003599,Calabasas SLF,"Los Angeles, CA","Sanitation Districts of Los Angeles County, CA",1961,2040,Open,30930000,26438379,2016,Yes,6.39,2012,34.14862,-118.70953
164,Other,,Calaveras Cement-Division of Flintkote Company,"Calaveras, CA",Calaveras Cement - Flintkote,1956,2006,Closed,,,,No,,,34.066667,-117.166667
165,Other,,Calexico Solid Waste Disposal Site,"Imperial, CA",Imperial Irrigation District,,2077,Open,,500000,2004,No,,,32.6764,-115.54565
166,Other,1010207,California Street LF,"San Bernardino, CA","City of Redlands, CA",1963,2042,Open,4495166,2803653,2016,Yes,1.5,,34.08861,-117.221
168,Other,,Camp Roberts Solid Waste Disposal Site,"San Luis Obispo, CA",California National Guard,,2015,Closed,,865443,,No,,,35.77509,-120.7343
170,Other,,Casa Grande Site,"Sonoma, CA",City of Petaluma Street Department,,1993,Closed,,500000,,No,,,38.22944,-122.60861
171,Other,,Caspar Refuse Disposal Site,"Mendocino, CA",Mendocino County Division of Solid Waste,,1996,Closed,,365215,,No,,,39.338,-123.783
172,Other,,Cecilville Disposal Site,"Siskiyou, CA",United States Department of Agriculture; United States Forest Service,,1994,Closed,,10000,,No,,,41.15278,-123.13333
174,Other,,Chalfant SLF,"Mono, CA",United States Bureau of Land Management,,2155,Open,,50000,2004,No,,,37.533334,-118.366667
175,Other,1007015,Chateau Fresno LF,"Fresno, CA","Republic Services, Inc.",1967,1996,Closed,,12451139,,Yes,1.15,2012,36.6856,-119.9397
176,Other,,Chester SLF,"Plumas, CA","Plumas County, CA",,2024,Open,,50000,2004,No,,,40.32667,-121.13833
177,Other,,Chestnut Avenue SLF,"Fresno, CA",Shubin Farms; Trifty Best Pumping Service,1967,1993,Closed,,784000,,Yes,0.32,,36.5513,-119.7387
178,Candidate,,Chicago Grade LF,"San Luis Obispo, CA","Chicago Grade Landfill, Inc.",1970,2039,Open,,1930448,2016,Yes,,,35.52333,-120.63028
179,Other,1002898,China Grade SLF,"Kern, CA","Kern County, CA",1983,1992,Closed,3608940,3608940,,Yes,0.493,2012,35.42499,-118.92934
180,With Project,1002992,Chiquita Canyon SLF,"Los Angeles, CA","Waste Connections, Inc.",1970,2019,Open,60715392,37285958,2016,Yes,6.73,2012,34.42806,-118.64661
181,Other,1011669,City of Clovis LF,"Fresno, CA","City of Clovis, CA",1957,2053,Open,5117004,1739282,2016,No,,,36.943,-119.685
182,Other,1007993,City of Fresno Landfill,"Fresno, CA","City of Fresno, CA",1937,1987,Closed,,4800000,1987,Yes,1.15,2012,36.7067,-119.8311
183,Other,1004868,City of Lompoc SLF,"Santa Barbara, CA","City of Lompoc, CA",1961,2045,Open,22079782,2209014,2016,No,,,34.65271,-120.44256
184,Other,,City of Palo Alto Refuse Disposal Site,"Santa Clara, CA","City of Palo Alto, CA",,2003,Closed,,,,Yes,,,37.45,-122.133334
